Cenario 0 S(t),Cenario 0 I(t),Cenario 0 R(t),Cenario 0 D(t),Cenario 1 S(t),Cenario 1 I(t),Cenario 1 R(t),Cenario 1 D(t),Cenario 2 S(t),Cenario 2 I(t),Cenario 2 R(t),Cenario 2 D(t),tempo(t)
068.1340950339,003.5589306123,000.3069743538,000.0061394871,068.1340950339,003.5589306123,000.3069743538,000.0061394871,068.1340950339,003.5589306123,000.3069743538,000.0061394871,010.0000
068.1098465823,003.5791348246,000.3110185931,000.0062203719,068.1098465823,003.5791348246,000.3110185931,000.0062203719,068.1098465823,003.5791348246,000.3110185931,000.0062203719,010.1000
068.0854691499,003.5994450583,000.3150857918,000.0063017158,068.0854691499,003.5994450583,000.3150857918,000.0063017158,068.0854691499,003.5994450583,000.3150857918,000.0063017158,010.2000
068.0609621593,003.6198617704,000.3191760703,000.0063835214,068.0609621593,003.6198617704,000.3191760703,000.0063835214,068.0609621593,003.6198617704,000.3191760703,000.0063835214,010.3000
068.0363250318,003.6403854186,000.3232895496,000.0064657910,068.0363250318,003.6403854186,000.3232895496,000.0064657910,068.0363250318,003.6403854186,000.3232895496,000.0064657910,010.4000
068.0115571873,003.6610164615,000.3274263512,000.0065485270,068.0115571873,003.6610164615,000.3274263512,000.0065485270,068.0115571873,003.6610164615,000.3274263512,000.0065485270,010.5000
067.9866580442,003.6817553586,000.3315865972,000.0066317319,067.9866580442,003.6817553586,000.3315865972,000.0066317319,067.9866580442,003.6817553586,000.3315865972,000.0066317319,010.6000
067.9616270200,003.7026025699,000.3357704101,000.0067154082,067.9616270200,003.7026025699,000.3357704101,000.0067154082,067.9616270200,003.7026025699,000.3357704101,000.0067154082,010.7000
067.9364635305,003.7235585565,000.3399779130,000.0067995583,067.9364635305,003.7235585565,000.3399779130,000.0067995583,067.9364635305,003.7235585565,000.3399779130,000.0067995583,010.8000
067.9111669905,003.7446237800,000.3442092295,000.0068841846,067.9111669905,003.7446237800,000.3442092295,000.0068841846,067.9111669905,003.7446237800,000.3442092295,000.0068841846,010.9000
067.8857368134,003.7657987028,000.3484644838,000.0069692897,067.8857368134,003.7657987028,000.3484644838,000.0069692897,067.8857368134,003.7657987028,000.3484644838,000.0069692897,011.0000
067.8601724114,003.7870837880,000.3527438005,000.0070548760,067.8601724114,003.7870837880,000.3527438005,000.0070548760,067.8601724114,003.7870837880,000.3527438005,000.0070548760,011.1000
